ID_EV,PERMNO,DCLRDT,DATE,RELAY ,RET,AR ,CAR
1,10026,2004/12/2,2004/11/17,-10,1.597373188,0.987284188,0.987284188
1,10026,2004/12/2,2004/11/18,-9,0.796896219,0.779231269,1.766515457
1,10026,2004/12/2,2004/11/19,-8,-1.858972199,-0.869560199,0.896955258
1,10026,2004/12/2,2004/11/22,-7,2.111912146,1.493625646,2.390580904
1,10026,2004/12/2,2004/11/23,-6,-0.063971413,-0.151248903,2.239332001
1,10026,2004/12/2,2004/11/24,-5,0.490718056,-0.022817144,2.216514857
1,10026,2004/12/2,2004/11/26,-4,1.146498788,0.966195388,3.182710245
1,10026,2004/12/2,2004/11/29,-3,0.146934704,0.373214604,3.555924849
1,10026,2004/12/2,2004/11/30,-2,-1.257594768,-0.928554368,2.627370481
1,10026,2004/12/2,2004/12/1,-1,0.148587755,-1.258466245,1.368904237
1,10026,2004/12/2,2004/12/2,0,-0.317934551,-0.156404851,1.212499385
1,10026,2004/12/2,2004/12/3,1,0.786737725,0.661552025,1.87405141
1,10026,2004/12/2,2004/12/6,2,-0.696206372,-0.569032372,1.305019038
1,10026,2004/12/2,2004/12/7,3,-4.227741435,-3.068243435,-1.763224397
1,10026,2004/12/2,2004/12/8,4,0.909493864,0.500559864,-1.262664533
1,10026,2004/12/2,2004/12/9,5,1.758626476,1.342322576,0.079658043
1,10026,2004/12/2,2004/12/10,6,1.317780465,1.349910905,1.429568947
1,10026,2004/12/2,2004/12/13,7,0.479740882,-0.371457018,1.05811193
1,10026,2004/12/2,2004/12/14,8,-0.234043854,-0.664043454,0.394068475
1,10026,2004/12/2,2004/12/15,9,0.853063632,0.476141032,0.870209507
1,10026,2004/12/2,2004/12/16,10,-0.422924012,-0.096590812,0.773618695
1,10026,2004/12/2,2004/12/17,11,1.189215016,1.619289816,2.392908511
2,10044,2003/5/8,2003/4/23,-11,-0.563204987,-1.395907087,-1.395907087
2,10044,2003/5/8,2003/4/24,-10,-0.692257145,0.139706455,-1.256200632
2,10044,2003/5/8,2003/4/25,-9,-0.50697038,0.75012562,-0.506075012
2,10044,2003/5/8,2003/4/28,-8,-1.910829172,-3.596394172,-4.102469183
2,10044,2003/5/8,2003/4/29,-7,3.896106407,3.571381007,-0.531088176
2,10044,2003/5/8,2003/4/30,-6,0.250005722,0.178184752,-0.352903424
2,10044,2003/5/8,2003/5/1,-5,0,-0.02542803,-0.378331454
2,10044,2003/5/8,2003/5/2,-4,-4.11471799,-5.60316199,-5.981493445
2,10044,2003/5/8,2003/5/5,-3,-3.641095012,-3.553681592,-9.535175037
2,10044,2003/5/8,2003/5/6,-2,0.674766442,-0.187525658,-9.722700695
2,10044,2003/5/8,2003/5/7,-1,0.268096267,0.748965267,-8.973735428
2,10044,2003/5/8,2003/5/8,0,-3.342245892,-2.413463292,-11.38719872
2,10044,2003/5/8,2003/5/9,1,7.053938508,5.701863508,-5.685335212
2,10044,2003/5/8,2003/5/12,2,-4.263564944,-5.491661944,-11.17699716
2,10044,2003/5/8,2003/5/13,3,3.103913926,3.293087826,-7.88390933
2,10044,2003/5/8,2003/5/14,4,-2.356018685,-2.210261985,-10.09417132
2,10044,2003/5/8,2003/5/15,5,0.402141176,-0.287922724,-10.38209404
2,10044,2003/5/8,2003/5/16,6,-0.133508036,0.068618664,-10.31347538
2,10044,2003/5/8,2003/5/19,7,1.47059001,3.67220201,-6.641273365
2,10044,2003/5/8,2003/5/20,8,-0.263504358,-0.232655098,-6.873928463
2,10044,2003/5/8,2003/5/21,9,5.680314824,5.283855624,-1.590072839
2,10044,2003/5/8,2003/5/22,10,1.874995232,0.967905232,-0.622167607
2,10044,2003/5/8,2003/5/23,11,-1.840486191,-2.112089091,-2.734256699
3,10085,2004/8/18,2004/8/3,-11,3.890730813,4.556926713,4.556926713
3,10085,2004/8/18,2004/8/4,-10,0.318724802,0.545916402,5.102843115
3,10085,2004/8/18,2004/8/5,-9,-2.501989901,-0.910070901,4.192772214
3,10085,2004/8/18,2004/8/6,-8,0.977603626,2.471986626,6.664758839
3,10085,2004/8/18,2004/8/9,-7,1.129482687,1.116334567,7.781093406
3,10085,2004/8/18,2004/8/10,-6,-0.279216981,-1.598402981,6.182690425
3,10085,2004/8/18,2004/8/11,-5,2.95999907,3.29830747,9.480997895
3,10085,2004/8/18,2004/8/12,-4,-2.175600082,-1.012557082,8.468440813
3,10085,2004/8/18,2004/8/13,-3,1.389993541,1.193907041,9.662347854
3,10085,2004/8/18,2004/8/16,-2,-0.1175115,-1.5151435,8.147204354
3,10085,2004/8/18,2004/8/17,-1,2.07843408,1.78568788,9.932892234
3,10085,2004/8/18,2004/8/18,0,0.307337381,-0.979147619,8.953744615
3,10085,2004/8/18,2004/8/19,1,2.451165766,2.764914866,11.71865948
3,10085,2004/8/18,2004/8/20,2,0.93457941,0.11753281,11.83619229
3,10085,2004/8/18,2004/8/23,3,2.074072137,2.417839237,14.25403153
3,10085,2004/8/18,2004/8/24,4,-2.830184251,-2.887945881,11.36608565
3,10085,2004/8/18,2004/8/25,5,0.448091608,-0.351629092,11.01445655
3,10085,2004/8/18,2004/8/26,6,4.275091738,4.309998798,15.32445535
3,10085,2004/8/18,2004/8/27,7,-0.463455124,-0.761326824,14.56312853
3,10085,2004/8/18,2004/8/30,8,0.787963159,1.601353659,16.16448219
3,10085,2004/8/18,2004/8/31,9,-0.286840904,-0.795828204,15.36865398
3,10085,2004/8/18,2004/9/1,10,-1.366411988,-1.707616088,13.6610379
3,10085,2004/8/18,2004/9/2,11,1.71344988,0.65709988,14.31813778
4,10107,2003/1/16,2003/1/2,-10,3.907157481,0.861971481,0.861971481
4,10107,2003/1/16,2003/1/3,-9,0.130304717,0.164148737,1.026120218
4,10107,2003/1/16,2003/1/6,-8,1.821899042,-0.197133958,0.82898626
4,10107,2003/1/16,2003/1/7,-7,1.880589314,2.532367814,3.361354074
4,10107,2003/1/16,2003/1/8,-6,-2.795694582,-1.469647582,1.891706491
4,10107,2003/1/16,2003/1/9,-5,2.89454218,1.07906118,2.970767671
4,10107,2003/1/16,2003/1/10,-4,0.197091559,0.138667999,3.10943567
4,10107,2003/1/16,2003/1/13,-3,0.840488635,0.952538335,4.061974005
4,10107,2003/1/16,2003/1/14,-2,1.028554421,0.495357621,4.557331626
4,10107,2003/1/16,2003/1/15,-1,-1.22871818,0.00510082,4.562432446
4,10107,2003/1/16,2003/1/16,0,-1.634977758,-1.345723558,3.216708888
4,10107,2003/1/16,2003/1/17,1,-7.028003037,-5.642740037,-2.426031149
4,10107,2003/1/16,2003/1/21,2,-0.252618059,1.278759941,-1.147271207
4,10107,2003/1/16,2003/1/22,3,-0.642902451,0.251028949,-0.896242258
4,10107,2003/1/16,2003/1/23,4,2.509801462,1.509744462,0.613502204
4,10107,2003/1/16,2003/1/24,5,-4.648049548,-2.035953548,-1.422451344
4,10107,2003/1/16,2003/1/27,6,-1.364092901,0.270349099,-1.152102245
4,10107,2003/1/16,2003/1/28,7,-0.711813057,-1.899835057,-3.051937302
4,10107,2003/1/16,2003/1/29,8,2.232691832,1.602716132,-1.44922117
4,10107,2003/1/16,2003/1/30,9,-3.346019238,-1.339072238,-2.788293409
4,10107,2003/1/16,2003/1/31,10,-1.616920717,-2.882473717,-5.670767126
5,10205,1999/4/22,1999/4/7,-11,-7.586207241,-7.997395841,-7.997395841
5,10205,1999/4/22,1999/4/8,-10,5.970149115,4.647812115,-3.349583726
5,10205,1999/4/22,1999/4/9,-9,-2.816901356,-3.282379656,-6.631963382
5,10205,1999/4/22,1999/4/12,-8,14.49275315,13.59289815,6.960934766
5,10205,1999/4/22,1999/4/13,-7,-1.265822817,-0.989299317,5.971635449
5,10205,1999/4/22,1999/4/14,-6,1.282051299,2.632317299,8.603952748
5,10205,1999/4/22,1999/4/15,-5,1.265822817,1.590028217,10.19398096
5,10205,1999/4/22,1999/4/16,-4,2.500000037,2.642685037,12.836666
5,10205,1999/4/22,1999/4/19,-3,-5.48780486,-3.14437686,9.692289142
5,10205,1999/4/22,1999/4/20,-2,-1.935483888,-3.229159888,6.463129254
5,10205,1999/4/22,1999/4/21,-1,-4.605263099,-7.061866099,-0.598736845
5,10205,1999/4/22,1999/4/22,0,1.37931034,0.04075034,-0.557986505
5,10205,1999/4/22,1999/4/23,1,3.401360661,3.292426961,2.734440456
5,10205,1999/4/22,1999/4/26,2,3.157894686,2.698934686,5.433375142
5,10205,1999/4/22,1999/4/27,3,0,-0.1122199,5.321155242
